4th-Ventricle	1946.1	1518.6	1318.3	1805	1414.7	1443.7	1767.4	1080.1	1888.9	1293.8	1456.3	2151.5	2072.3	2761.1	1227.4	1404.4	2053.6	1241.3	1555.1	905.8	1242.1	1298.3	2611.3	2062.5	1597	1573.6	1344.2	3885	1225.9	1588.1	1379	1174.2	634.1	1545.5	2258.4	838.5	1768	1643.6	1156	786.9	1539.7	1512.8	1686.7	2304.5	1273.6	2610.2	1692.5	2724.5	505.1	3242	1656.6	1474.5	2171.9	1307.7	1650.2	979.5	1266	1399.8	2376.1	1417.5	1639.1	1776.5	2374.6	2383.5	1222.5	1760.1	1410.2	1311.2	1997.4	1465.3	830.9	1081.9	1662.8	2239.7	1891.4	1391.6	1315.4	1600.5	1290.6	1498	1439.7	1552	1721.5	1132.2	1709	1475.9	2541	1426.3	1831.4	1993.7	1618.3	1749.5	1220.4	1703.8	1790.5	1901.3	1408.3	1419.9	1652.9	1161.6
Brain-Stem	20939.6	24683.8	18888.2	18416.5	24675.8	16954.9	21862.1	19834.1	20897	21453.1	19747.6	23091	22711.2	22605.2	21990.7	21579	22909.2	24581	22284.1	18958.2	22493.4	23321.5	21408.1	23925.2	18633.8	21293	19132.5	23054.9	23029.6	22518.3	20935.2	22139.3	19354.7	17882.2	20956	20491.6	18946.3	23185.5	19199.1	22970.4	22989.9	19208.6	21326.5	23549.6	23035.4	23834.7	21562.1	26254.2	24521.4	22981.7	19005.4	17287.7	27182.8	20171.3	21893.7	23461.8	22969.2	21267.9	24964.4	27305.3	24187.7	20085.8	22351	23089.7	19728.3	21150.4	16456.3	23942.8	21932.4	18870.8	21945.8	19810.9	20434.7	26607.8	22041	24002.1	21215.1	22226.4	14419.9	17178.9	18100.8	19572.8	24159.9	22712.5	21210.6	22925.8	21092.8	18218.8	17739.1	25590.2	30935	20756.3	19080	19737.5	21643.6	18830.9	25864.2	17384.3	21650.9	18415
Left-Hippocampus	4473.2	4669.4	3868.7	3938.1	4456	3880.3	3563.8	4128	4635.4	4349.1	4421.5	3956.8	4269.1	4694.9	3994.5	4517.8	4530.8	4736.7	3788.7	4089.1	4614.8	4677.9	3781.2	4028.7	3685.9	4287.5	4312.2	5045.8	4308.1	4140.4	4349.7	4088	4272.4	3726.5	4484.6	4640.3	4660.6	4078.2	4147.1	4302.8	4572.8	3533.1	3794.2	4531.3	4829.9	3564.1	4175.1	4858.7	4278.8	4285.2	3727.6	4079.1	4393.7	4236.4	4282.5	4319.3	4315.9	3939.2	5210.5	5152.7	4756.6	4177.3	4022.3	4594.7	4508.8	3866.7	3492.6	5241.1	4029	4656.6	4223.4	4325.6	3842.2	4934.6	4452.9	4866.6	3884.2	3829.2	3741.3	3517.5	4243.6	3835.5	4519	3969.4	4094.7	4100.6	3744	3778.8	4454.5	5005.1	4573.3	4187.2	4219.4	3753.8	4130.7	3683.5	4757.7	3759.3	4716.2	3704.5
Left-Amygdala	1486	1717.5	1608	1518.7	1860.2	1409	1316.6	1316.9	1866.5	1310.5	1766.7	1716.2	1912.5	1552.5	1780.2	1601.3	1921.7	1610.3	1546.5	1775.6	1452.1	1774.7	1517.6	1553.5	1138.9	2263	1635.4	1930	1835.2	1599.6	1538.2	1391.4	1495.6	1529.5	1577.3	1773.5	1978.2	1595.2	1515.9	1542.6	1623.4	1555.7	1436.4	1647.9	1559.9	1425.6	1552	1599	1403.3	1609.6	1136.2	1759.6	1655.9	1496.8	1685.2	1485.4	1573.3	1567.4	1930.9	1706.3	1767.3	1589	1523	1624.7	1604.2	1446.3	1336.6	1853.3	1519.7	1396.8	1647	1458	1671.2	1903	1433.8	1584	1461.9	1601.6	1527.7	1341.5	1363.3	1402.7	1718.8	1532.9	1292.5	1776.6	1671.9	1546.4	1235.1	1975.2	1873	1685.5	1393.5	1434.4	1729	1335.9	2068.6	1315.2	1930.2	1399.4
CSF	1299.7	1116.9	733	1565	1222.4	1234.9	894.8	941	939.8	1509.9	972.9	1485.9	1267.9	1555	834.1	1202.1	1104.2	1037.9	900.9	1232.5	1233.6	1293	1239.6	1078.8	1302.2	789.8	1165.4	1091.8	1099.3	826.5	1207.1	1443.4	1460	1288.1	1333.1	1130.8	953	1146.9	1317.8	1593.4	858.5	1024.7	894.3	1630.3	1199.7	986.1	1183.1	1700.3	1107.8	1422.3	912.7	1216.2	1672.7	1330.9	1163.1	1142.3	1131.5	1162.5	1417.4	1565.2	1309.7	601.6	1354	1193.8	1794.5	1048.1	888.8	1319.3	636.7	1870.6	1252.4	953.7	927.7	1277.5	1042.4	1101.5	793.9	903.7	1010.3	1101.2	1680.9	837.5	1155.3	1227	1229	962.9	1029.1	1145.3	1075.3	2201.1	1565.5	935.7	1381.2	1509.9	1085.3	1062.2	977.8	1008.7	1127.2	756.8
Left-Accumbens-area	618.5	397.3	486.4	447.6	462.7	499	342.5	278.6	546.2	416.9	587.5	373.1	464.6	410.5	427.9	352.2	464	486.8	510.6	550.1	329	430.6	511.3	559	230	551.7	669.1	573.4	426	349.4	335.2	620.5	248.3	419.5	548.8	439.1	538.2	648.3	499.4	238.9	517.7	412	497	452.4	754.4	642.3	525.1	603.2	360.1	396	446	541.1	390.3	293.4	496.2	270.3	462.9	411.9	523.2	397.5	618.4	646.5	369.6	734.5	294.7	539.2	531.4	353.6	587.1	447.1	286.7	406.2	424.2	506.5	503.7	276.1	520.6	650.1	489.6	351.7	415.2	533.6	658.5	632.3	457.2	285.8	454.8	461.1	355.3	729.9	786.9	516.8	393	310.5	513.9	481.7	648.3	429.9	626	479.9
Left-VentralDC	4328.8	4381.9	3766.1	3687.7	4519.1	3226.1	3785.2	3733.6	4207.8	3902.2	4075.6	4078	4378.4	4575.6	3879.2	4336.3	4622.7	4772.6	3362.1	4481.9	4133.1	4245	4033.2	4312.8	3285.2	4094.9	4339.9	4583	4414.7	4099.1	3823	4418	3775.3	3509.5	4114.8	4354.2	3883.1	4209.8	3830.5	4142.2	4184.2	3882.3	3486.6	4631.6	4469.9	4521.3	4183.2	4577.8	4438	3670.3	3558.2	3493.3	4691.2	4191.7	3389.2	4074.1	3681.2	4123.9	4634.3	4803.2	4427.9	4096.9	4273.6	4442	4079.2	4072.8	3191.7	5060.3	3945.5	4081.6	3767.4	3986	3864.8	4949.5	4259.2	4580.7	3696.2	4660.6	2953.5	3166.9	3774.1	3435	5098.3	4038.7	3408.3	4181.9	3972.9	3276.6	4038.5	4378.9	4992	4135.4	3658.6	3882.6	3926.1	3555.1	4935.5	3467.3	4154.8	3224.3
Left-vessel	38	50.5	73.3	18	43.5	37.6	24.3	0	31	0	5.9	23.6	67.1	0	40.8	12.1	24.6	50.8	18.2	18.7	0	0	27.4	35	28	25.2	54.7	20.1	14.5	27.6	0	13.1	0	53.8	34.7	0	48.9	23	0	0	31.7	6.3	54.1	0	23.4	38.1	27.4	42.6	0	18.8	24.2	39.7	59.7	0	29.8	0	25.4	50.3	106.9	0	60.5	32.2	43.5	36.7	5.8	66.8	37.1	9	14.3	0	0	12.6	20.6	36.3	0	0	54.8	23	41	33.8	0	15.3	19.3	39.8	19	14.5	17.7	19.6	19.4	56.6	41	0	0	0	45.6	33	38.3	49.5	29.7	37.5
Left-choroid-plexus	608.2	742.5	454	694.6	376.9	511.6	627.3	159.5	350.5	320.6	575.4	680.6	490.4	600.5	450.7	383.5	759.1	283.3	317.8	445.5	311.4	567	675.2	511.9	977	405.1	567.1	535.5	475.1	552.9	869.5	498.9	199.6	625.2	780.8	561.8	391.3	472.5	231.6	919.2	586.5	542.9	345	483.1	364.6	366.4	511.4	454.7	303.1	859.6	456.4	410.2	819.2	394.9	526.3	324.1	435.9	776.2	574.2	446.4	521.3	345	413.1	612.9	1407.6	338.4	554.9	501.4	384	313.5	198.4	585.1	308.3	551.2	266.9	795.3	343	410.3	802.5	511.6	234.1	320.1	326.4	489.5	332.6	451.2	334	436.8	568.2	1050.3	448.7	453.7	205.5	209.8	441.3	482.8	357.9	422.7	410.6	497.7
Right-Lateral-Ventricle	7040.4	14997.8	6672.5	10644	5861.4	7185.9	5051	3269.3	2928.2	7158.6	11545.9	7442.2	6698.2	9258.2	4212.3	4933.3	7690.3	7322.2	7292.6	8097.9	4468.5	6882.5	10960.8	4254.1	15576.2	4133.9	8335.4	8747	5018	7528.9	12136.7	4389	3893.3	10562.1	13046.1	5185.9	3985.1	6161.1	3401.1	15404.3	5178.7	4982.1	5676	10772.9	3792.3	7837.3	9897	8177.6	7870.2	12484.5	5389.1	5615.3	15156.9	8586	6367.8	7063.7	7709.1	7465.3	11395.4	7075.5	7003.9	2447.3	5029.7	7089.5	30244.7	4254.6	6888.3	8489.7	3188.4	6659.9	2723.8	5924.3	3677.2	4043.2	4372.3	7327.2	8072.9	7320	7386.9	5552.4	6558.2	6232.2	5431.2	4444.3	4799	6106.4	9113.3	10393.6	13919.5	18213.6	3836.4	4707	3569.4	4267.2	5713.5	6115.2	2922.6	6802.9	6296.8	4234.4
